,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean
80,1944-03-21 00:00:00+00:00,6.574333,0.70000005,6.1929464
81,1944-03-22 00:00:00+00:00,5.6389165,0.4,4.8893075
82,1944-03-23 00:00:00+00:00,7.338917,0.0,7.7446933
83,1944-03-24 00:00:00+00:00,7.634749,0.0,9.955881
84,1944-03-25 00:00:00+00:00,5.9785,0.0,9.298224
85,1944-03-26 00:00:00+00:00,7.341,0.0,7.6394777
86,1944-03-27 00:00:00+00:00,8.095166,0.0,4.1377363
87,1944-03-28 00:00:00+00:00,7.136833,0.0,5.234928
88,1944-03-29 00:00:00+00:00,3.9805834,0.3,9.292553
89,1944-03-30 00:00:00+00:00,1.8639168,0.8000001,8.58452
90,1944-03-31 00:00:00+00:00,2.2826667,2.3,6.5991707
91,1944-04-01 00:00:00+00:00,3.1305838,0.3,12.117807
92,1944-04-02 00:00:00+00:00,5.2764163,5.2000003,15.228802
93,1944-04-03 00:00:00+00:00,9.228499,4.2,10.268588
94,1944-04-04 00:00:00+00:00,9.561833,2.1000001,4.1876593
95,1944-04-05 00:00:00+00:00,8.4285,3.0,4.8453345
96,1944-04-06 00:00:00+00:00,7.9430823,0.0,5.3774304
97,1944-04-07 00:00:00+00:00,7.718083,0.0,9.772767
98,1944-04-08 00:00:00+00:00,8.497251,0.0,13.1933155
99,1944-04-09 00:00:00+00:00,9.555583,2.3,12.006867
100,1944-04-10 00:00:00+00:00,9.041001,0.2,14.455362
101,1944-04-11 00:00:00+00:00,10.284749,1.0000001,14.892082
102,1944-04-12 00:00:00+00:00,10.482666,0.0,8.35025
103,1944-04-13 00:00:00+00:00,11.124332,0.1,13.217432
104,1944-04-14 00:00:00+00:00,11.224334,0.2,12.026044
105,1944-04-15 00:00:00+00:00,11.030583,3.2999997,4.8235197
106,1944-04-16 00:00:00+00:00,8.963917,0.5,8.4906225
107,1944-04-17 00:00:00+00:00,8.288917,0.1,6.535146
108,1944-04-18 00:00:00+00:00,10.907666,0.6,13.140533
109,1944-04-19 00:00:00+00:00,11.174332,4.2,27.12961
110,1944-04-20 00:00:00+00:00,9.020167,3.8,24.857384
111,1944-04-21 00:00:00+00:00,9.201417,2.4999998,20.905727
112,1944-04-22 00:00:00+00:00,9.17225,0.2,19.834463
113,1944-04-23 00:00:00+00:00,11.293083,0.1,19.779858
114,1944-04-24 00:00:00+00:00,9.713918,0.6,25.800781
115,1944-04-25 00:00:00+00:00,9.403501,0.0,14.806118
116,1944-04-26 00:00:00+00:00,9.593083,0.0,11.349659
117,1944-04-27 00:00:00+00:00,9.380584,0.4,16.21209
118,1944-04-28 00:00:00+00:00,9.320167,0.0,10.756428
119,1944-04-29 00:00:00+00:00,9.2035,0.0,12.481107
120,1944-04-30 00:00:00+00:00,11.180583,0.0,13.1113405
121,1944-05-01 00:00:00+00:00,10.674333,0.6,17.292461
122,1944-05-02 00:00:00+00:00,10.888917,3.1,27.195213
123,1944-05-03 00:00:00+00:00,8.03475,1.6000003,20.072908
124,1944-05-04 00:00:00+00:00,6.2972503,12.0,15.854055
125,1944-05-05 00:00:00+00:00,7.0722504,2.9,16.441797
126,1944-05-06 00:00:00+00:00,6.695167,0.0,9.043182
127,1944-05-07 00:00:00+00:00,8.713916,0.0,9.8885145
128,1944-05-08 00:00:00+00:00,9.626417,0.0,14.9575405
129,1944-05-09 00:00:00+00:00,9.903501,0.0,15.239748
130,1944-05-10 00:00:00+00:00,11.02225,0.3,12.937364
131,1944-05-11 00:00:00+00:00,11.757668,0.0,13.399223
132,1944-05-12 00:00:00+00:00,12.33475,0.0,7.4597416
133,1944-05-13 00:00:00+00:00,10.39725,1.2,7.9305296
134,1944-05-14 00:00:00+00:00,8.249333,0.0,10.526715
135,1944-05-15 00:00:00+00:00,6.828501,0.0,10.035901
136,1944-05-16 00:00:00+00:00,6.3576665,4.4999995,17.796791
137,1944-05-17 00:00:00+00:00,6.645166,2.5,11.839382
138,1944-05-18 00:00:00+00:00,7.653501,2.0,5.475139
